n,PH_μ,PH_σ,MH_μ,MH_σ,Gap (%)
15,0.0,0.0,0.0,0.0,0.00%
25,0.0,0.0,0.0,0.0,0.00%
30,0.0,0.0,0.0,0.0,0.00%
60,14.6,0.8,11.5,0.5,-21.23%
90,31.3,2.19,23.9,0.94,-23.64%
120,55.0,1.48,40.6,1.28,-26.18%
140,65.1,2.07,46.9,1.14,-27.96%
